LNEC Test File eXtractor

File: pink_noise_40Hz_L4mm.drv

Created in: 2025-06-03 17:29:12.476788

Number of channels: 3

Name:	PosA1T	PosA3L	PosA2V
Type:	displacement	displacement	displacement
Unit:	m	m	m
No. of Samples:	32768	32768	32768
Time step [s]:	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	163.835	163.835	163.835
Data:
PosA1T	PosA3L	PosA2V
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.0004284508991375234	0.0
0.0	-0.0004284508991375234	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.0001607574059029533	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.0001607574059029533	0.0
0.0	-0.0001607574059029533	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.0004284508991375234	0.0
0.0	-0.0004284508991375234	0.0
0.0	-0.0001607574059029533	0.0
0.0	-2.691065928566823e-05	0.0
0.0	0.0002407828339489019	0.0
0.0	0.00010693608733161684	0.0
0.0	-2.691065928566823e-05	0.0
0.0	-2.691065928566823e-05	0.0
0.0	0.00010693608733161684	0.0
0.0	-2.691065928566823e-05	0.0
0.0	-2.691065928566823e-05	0.0
0.0	-0.0004284508991375234	0.0
0.0	-0.0001607574059029533	0.0
0.0	-0.0001607574059029533	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.0005622976457548085	0.0
0.0	-0.0005622976457548085	0.0
0.0	-0.0005622976457548085	0.0
0.0	-0.0005622976457548085	0.0
0.0	-0.0005622976457548085	0.0
0.0	-0.0001607574059029533	0.0
0.0	-0.0004284508991375234	0.0
0.0	-0.0008299911389893786	0.0
0.0	-0.0008299911389893786	0.0
0.0	-0.0005622976457548085	0.0
0.0	-0.0001607574059029533	0.0
0.0	-0.0004284508991375234	0.0
0.0	-0.0001607574059029533	0.0
0.0	-0.0004284508991375234	0.0
0.0	-0.0001607574059029533	0.0
0.0	0.0002407828339489019	0.0
0.0	0.00037462958056618694	0.0
0.0	-0.0006961443923720936	0.0
0.0	-2.691065928566823e-05	0.0
0.0	-0.0006961443923720936	0.0
0.0	0.0002407828339489019	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.0008299911389893786	0.0
0.0	-0.0009638378856066637	0.0
0.0	-0.001766918365310374	0.0
0.0	-0.0010976846322239488	0.0
0.0	-0.001633071618693089	0.0
0.0	-0.0014992248720758039	0.0
0.0	-0.001766918365310374	0.0
0.0	-0.0014992248720758039	0.0
0.0	-0.0010976846322239488	0.0
0.0	-0.0001607574059029533	0.0
0.0	-0.0025699988450140843	0.0
0.0	-0.0012315313788412337	0.0
0.0	-0.0006961443923720936	0.0
0.0	0.00010693608733161684	0.0
0.0	0.00037462958056618694	0.0
0.0	0.0002407828339489019	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.0006961443923720936	0.0
0.0	-0.001766918365310374	0.0
0.0	-0.001633071618693089	0.0
0.0	0.00037462958056618694	0.0
0.0	0.00037462958056618694	0.0
0.0	0.000642323073800757	0.0
0.0	0.000642323073800757	0.0
0.0	0.00010693608733161684	0.0
0.0	0.0002407828339489019	0.0
0.0	0.0002407828339489019	0.0
0.0	0.0007761698204180422	0.0
0.0	-0.0004284508991375234	0.0
0.0	-0.0005622976457548085	0.0
0.0	0.00037462958056618694	0.0
0.0	-0.0009638378856066637	0.0
0.0	-0.00029460415252023837	0.0
0.0	0.0007761698204180422	0.0
0.0	-0.0004284508991375234	0.0
0.0	0.0014454035535044674	0.0
0.0	-2.691065928566823e-05	0.0
0.0	0.002516177526442748	0.0
0.0	0.0017130970467390376	0.0
0.0	0.000508476327183472	0.0
0.0	-0.0001607574059029533	0.0
0.0	0.0007761698204180422	0.0
0.0	-2.691065928566823e-05	0.0
0.0	-0.001766918365310374	0.0
0.0	-2.691065928566823e-05	0.0
0.0	0.002382330779825463	0.0
0.0	0.0017130970467390376	0.0
0.0	0.0011777100602698974	0.0
0.0	0.002114637286590893	0.0
0.0	-0.00029460415252023837	0.0
0.0	-0.001633071618693089	0.0
0.0	-0.00404231305780422	0.0
0.0	-0.0014992248720758039	0.0
